Year_Month,maximumT,minimumT,precipitation,snowfall
Units,degF,degF,in,in
2013-03,52.3,24.7,0.18,4.2
2013-04,56.5,28.8,0.33,3.6
2013-05,69.5,43.1,1.14,1.8
2013-06,85.4,54.6,0.6,T
2013-07,84.7,57.8,4.61,T
2013-08,83.7,57.9,5.72,T
2013-09,77.8,53.1,4.8,T
2013-10,61.7,34.7,0.42,0.2
2013-11,53.1,25.3,0.27,4
2013-12,42.2,16.2,0.07,2.9
2014-01,45.2,15.2,0.67,13.6
2014-02,44.4,17.2,0.22,3.4
2014-03,54.2,24.9,0.42,2.8
2014-04,61.5,33.5,0.92,7.5
2014-05,70.5,43,2.56,0.4
2014-06,82.1,51.7,1.29,T
2014-07,83.3,57.3,4.63,T
2014-08,81.6,55.1,2.34,T
2014-09,77.8,50,0.61,T
2014-10,67.3,39.6,2.96,T
2014-11,50.8,21.5,0.26,7.1
2014-12,44.3,18.6,0.16,3.7
2015-01,44.9,20.7,0.87,13.5
2015-02,46.1,20.9,1.45,16.6
2015-03,57.4,28.8,0.81,3.9
2015-04,62,34.9,0.97,1.7
2015-05,62.8,41.7,8.13,T
2015-06,81.2,55.8,5.72,T
2015-07,82.8,57.7,3.14,T
2015-08,85.4,57.2,1.73,0
2015-09,82.4,52.3,0.32,0
2015-10,67.7,43,1.38,T
2015-11,52.7,25.4,0.48,5.8
2015-12,45.2,19.7,0.25,4.3
2016-01,45.6,19.7,0.54,6.9
2016-02,50.6,23.3,1,10.1
2016-03,55.6,28.2,0.73,10.5
2016-04,59.4,34,2.28,13.1
2016-05,67.7,41.3,2.38,T
2016-06,85.5,55.5,1.04,T
2016-07,89.3,59.7,3.04,T
2016-08,82.1,55.4,2.43,T
2016-09,80.1,50.3,0.16,0
2016-10,73.6,42.3,T,0
2016-11,59.2,30.3,0.07,T
2016-12,43.9,14.6,0.68,6.4
2017-01,42.9,18.8,0.32,6.3
2017-02,53.7,26,0.07,0.7
2017-03,62,31.4,0.44,2
2017-04,61.1,36.5,2.14,9.7
2017-05,68.5,42.9,3.15,0.1
2017-06,83.8,54.8,0.5,T
2017-07,86.9,59.8,6.23,T
2017-08,80.4,56.2,2.43,T
2017-09,75.6,51.1,2.77,0
2017-10,65.1,35.3,0.23,0.9
2017-11,59.5,31.5,0.15,0.7
2017-12,48.4,18.5,0.01,0.9
2018-01,50.2,19.8,0.16,1.7
2018-02,45.7,18.1,0.4,9
2018-03,58,27.5,0.6,3.1
2018-04,61.4,31.9,1.08,5.3
2018-05,77,47.5,1.46,T
2018-06,87.1,55.1,1.43,T
2018-07,86.4,58.6,4.46,T
2018-08,81.9,56.4,3.25,T
2018-09,81,52.1,0.57,0
2018-10,59.7,36.4,1.61,5.3
2018-11,50.3,24.4,0.3,2.8
2018-12,44.9,17.3,0.09,1.3
2019-01,46.9,19.1,0.27,2.8
2019-02,46.7,16.4,0.29,6.1
2019-03,49.4,24.4,1.22,7.4
2019-04,63.3,35.6,1.04,5.4
2019-05,63.8,39.3,2.49,5.1
2019-06,79.1,49.7,1.97,T
2019-07,88.3,57.9,1.4,T
2019-08,88.3,58,0.71,T
2019-09,84,53.3,0.32,0
2019-10,58.1,28.1,0.82,12.6
2019-11,51,24.5,0.9,8.3
2019-12,46.8,21.9,0.32,4.6
2020-01,47.8,20.4,0.09,0.8
2020-02,41.8,18.2,0.62,13
2020-03,56.7,29.5,0.99,7.7
2020-04,61.7,32.7,0.86,9.4
2020-05,74.1,44.3,1.15,0
2020-06,85.6,53.5,0.78,T
2020-07,89.2,59.2,1.53,T
2020-08,89.6,58.3,2.74,T
2020-09,78.7,48.7,0.35,2.6
2020-10,66.8,35.2,0.25,3.2
2020-11,58.7,27.3,0.01,0.2
2020-12,46.7,20.4,0.52,5.1
2021-01,43.5,19.5,0.57,7.9
2021-02,38.1,14.1,0.84,13.6
2021-03,52,27.7,1.4,14.6
2021-04,61,32.7,0.75,5.4
2021-05,67.8,44,3.98,1.7
2021-06,83.9,55.3,2.15,0
2021-07,85.8,59.3,3.26,T
2021-08,89.2,58.8,0.2,0
2021-09,83.2,52.7,0.95,0
2021-10,67.7,38.5,0.26,0
2021-11,60.7,31.1,0.03,T
2021-12,55.1,25.5,0.07,0.4
2022-01,48.6,19.5,0.22,4.3
2022-02,42.2,15.5,0.56,10.5
2022-03,54.7,27.5,0.75,7.9
2022-04,67.5,35.6,0.01,T
2022-05,73.1,45.2,2.02,10.3
2022-06,82.5,54.5,1.37,0
2022-07,89.3,60,5.35,0
2022-08,85.1,58.4,1.82,0
2022-09,82.1,51.7,0.5,0
2022-10,66.6,38.2,0.15,T
2022-11,50.3,22.9,0.24,7.4
2022-12,45.1,16.2,0.5,3.9
